StarID,ProperName,RA,Dec,Mag,ColorIndex
124.0,,0.03476844,-56.51490157,8.86,0.66
125.0,,0.03518714,39.1832136,8.58,0.06
126.0,,0.03566806,-68.28020594,9.24,1.39
127.0,,0.03601251,27.08448905,5.8,0.69
128.0,,0.03663992,47.57722222,8.45,0.248
129.0,,0.03677112,59.96533825,8.86,1.035
130.0,,0.03682905,49.77113897,7.84,0.923
131.0,,0.03688894,44.42827722,8.86,0.53
132.0,,0.03734693,-11.96434717,8.93,0.172
133.0,,0.03785307,-27.13517299,7.97,0.556
134.0,,0.03792415,-13.40751554,6.9,0.534
135.0,,0.03806015,-9.17489501,8.47,1.171
136.0,,0.03825444,60.7031946,6.77,1.832
137.0,,0.03874453,52.58643746,8.55,1.004
138.0,,0.03886504,-29.72044805,5.04,-0.15
139.0,,0.03931837,11.00634091,8.48,0.888
140.0,,0.03934334,10.78564387,8.53,0.53
141.0,,0.04004652,8.9568336,6.33,0.182
142.0,,0.04014094,-6.05918213,8.99,0.5
143.0,,0.04016696,6.33313676,8.64,0.488
144.0,,0.04037042,10.77665206,8.74,0.57
145.0,,0.04081914,-46.02884131,12.43,1.49
146.0,,0.04132207,8.39393024,8.16,1.032
147.0,,0.04159929,8.48557854,5.7,0.315
148.0,,0.04171579,47.42295978,7.62,0.517
149.0,,0.04180029,51.82997958,8.95,1.677
150.0,,0.04215526,42.14779896,8.97,0.952
151.0,,0.04217971,15.33519012,8.94,0.276
152.0,,0.04233548,16.25655097,7.24,0.074
153.0,,0.04262093,18.68336438,8.24,0.474
154.0,,0.04278227,54.55216087,8.62,0.303
155.0,,0.0430056,-43.94791349,8.53,1.274
156.0,,0.0430474,-5.18664439,8.54,0.384
157.0,,0.04312266,18.83599601,8.56,0.436
158.0,,0.04335616,66.09896341,5.87,1.073
159.0,,0.04401064,66.10037725,7.2,0.085
160.0,,0.04445756,51.47241278,7.7,1.003
161.0,,0.04461149,28.54222144,8.17,0.29
162.0,,0.04496107,82.97320953,7.29,0.118
163.0,,0.04512815,42.92069156,7.94,0.016
164.0,,0.04531664,-57.63363086,8.42,1.005
165.0,,0.04601528,6.03445242,8.56,0.602
166.0,,0.04611597,35.81547283,7.52,0.18
167.0,,0.04621434,80.28224146,7.74,0.483
168.0,,0.04629872,-40.9831797,8.85,1.113
169.0,,0.04642741,2.1303764,7.17,0.617
170.0,,0.04734347,28.25189113,7.64,0.532
